feature,brugada_mean,normal_mean,effect_size,abs_effect,p_value
morph_V3_high_takeoff_gt_2mm_median,0.22972972972972974,0.11672473867595819,0.3262717089717579,0.3262717089717579,0.013786375127925498
morph_V1_t_peak_value_std,0.027989379343135203,0.01748603125269142,0.3260651172797276,0.3260651172797276,0.5260556424403058
st_V1_st_curvature_sign_min,-0.972972972972973,-0.7979094076655052,-0.3256660739147699,0.3256660739147699,0.009496138042597958
st_V2_st_j40_j0_ratio_max,1.0500985854143723,1.6188745710216987,-0.32536762206470815,0.32536762206470815,2.047737099031739e-05
sq_V4_min,-0.8464054054054055,-0.7213728222996516,-0.32309681559954895,0.32309681559954895,0.02279072122564832
morph_V2_t_polarity_max,0.8648648648648649,0.6306620209059234,0.31844300134467846,0.31844300134467846,0.014625585200362017
morph_V2_saddleback_score_std,0.038311970957755265,0.014973406942504148,0.3183134287264366,0.3183134287264366,4.3257006252176737e-16
sq_aVF_mean,0.02323337837837835,0.030338498838559786,-0.31830017105353525,0.31830017105353525,0.026371510245129175
st_V1_st_j80_max,0.12002027027027026,0.09730313588850173,0.3180434721961884,0.3180434721961884,0.04046800427458926
st_V1_st_convexity_max,0.0010351351351351123,0.0017836236933797642,-0.3169944298600253,0.3169944298600253,0.12205696061644837
rr_std_ms,29.562852916731764,44.07425554043739,-0.31594612024322377,0.31594612024322377,0.0003077200752726398
sq_V1_snr_proxy,3484.3801301052567,1994.392319901199,0.31541559782058,0.31541559782058,0.08894815589328237
st_V1_st_slope_j0_j40_min,-0.002727027027026996,-0.0019197735191637333,-0.314665302509377,0.314665302509377,2.891860092023826e-09
st_V3_st_area_above_baseline_max,2.454283783783784,2.0041803135888503,0.31294511539729647,0.31294511539729647,0.03643706735074312
st_V1_s_amplitude_mean,-0.5260210780751222,-0.6271208021613255,0.30996672626750066,0.30996672626750066,0.010872386377554943
morph_V1_t_inversion_indicator_max,0.06756756756756757,0.017421602787456445,0.30513166706185,0.30513166706185,0.01937663664095775
morph_V1_t_mean_median,0.029245596499089102,0.02350293616778677,0.3040405541609173,0.3040405541609173,0.017638550311787654
st_V1_st_slope_j0_j40_median,-0.001546452702702673,-0.0009521777003484101,-0.30371555794394195,0.30371555794394195,2.1463147611847738e-10
rr_cv,0.03420641033650577,0.04880853889898876,-0.3036214795530195,0.3036214795530195,0.00037799461609678994
st_V1_j_point_confidence_mean,0.9812889812889812,0.9989751998360319,-0.3029910834717034,0.3029910834717034,0.04655436444691601
morph_V3_covedness_score_std,0.044916314345191756,0.06018039956583271,-0.30294272382390075,0.30294272382390075,0.008589324213307962
sq_V4_max,1.4051216216216216,1.5939930313588853,-0.3028555539887795,0.3028555539887795,0.05048371251574829
st_V3_st_slope_j0_j40_max,0.0019131756756756442,0.001404268292682908,0.30269948113825423,0.30269948113825423,0.40748393935363014
morph_V1_t_peak_value_min,-0.03417567567567568,0.001757839721254349,-0.30250615625595695,0.30250615625595695,0.008925003005613608
morph_V3_t_polarity_max,0.40540540540540543,0.10801393728222997,0.3013120518764111,0.3013120518764111,0.02086749306005597
sq_aVR_noise_energy,1.868076591965376e-05,3.291337837975554e-05,-0.2990689129771501,0.2990689129771501,6.143014701313982e-05
st_V1_s_amplitude_median,-0.5323581081081081,-0.6315252613240419,0.2988206244866402,0.2988206244866402,0.012291062966535716
sq_V4_mean,0.05484832207207204,0.065860325203252,-0.2957900394179729,0.2957900394179729,0.04789201922722162
sq_V4_noise_energy,0.00011334748441323225,0.00026226775568970835,-0.2950033040936083,0.2950033040936083,5.394683441811446e-07
st_V1_st_j80_j0_ratio_median,0.36886114046988533,0.5537708165622709,-0.2942543021753148,0.2942543021753148,8.862425400313085e-05
sq_aVR_range,0.9752297297297298,1.0783623693379791,-0.2924537341946315,0.2924537341946315,0.0019174109226285127
morph_V2_t_amplitude_std,0.026725879620331787,0.014824641666231979,0.2901596756368478,0.2901596756368478,0.06015883786171458
st_V3_st_j40_j0_ratio_min,0.8795226879915606,0.5756891904196075,0.2900135120367966,0.2900135120367966,0.05004419826243294
morph_V3_t_peak_value_max,0.030513513513513512,0.00947560975609756,0.28809076041872483,0.28809076041872483,0.0015364000371472482
sq_aVL_std,0.07672618475493383,0.06665728420857336,0.2830268105901265,0.2830268105901265,0.1362677564203044
sq_III_noise_energy,4.261992671467409e-05,6.848206617816877e-05,-0.2824344117898819,0.2824344117898819,0.0004565811090149055
morph_V3_t_inversion_indicator_max,0.22972972972972974,0.3623693379790941,-0.2805949011326986,0.2805949011326986,0.03144166350930801
st_V2_st_j80_median,0.1962533783783784,0.15956620209059233,0.27932004453473386,0.27932004453473386,0.010027201155904787
morph_V3_t_inversion_indicator_std,0.06904714845403895,0.11764285746851844,-0.2791067934536618,0.2791067934536618,0.03863538016229101
morph_V3_high_takeoff_gt_2mm_mean,0.21994191994191992,0.12961077091021753,0.27545611384666235,0.27545611384666235,0.04535235978418655
st_V3_high_takeoff_gt_2mm_mean,0.21994191994191992,0.12961077091021753,0.27545611384666235,0.27545611384666235,0.04535235978418655
sq_aVL_rms,0.07756467276393582,0.06762628779912216,0.27510404228599517,0.27510404228599517,0.1549187805104177
morph_V1_high_takeoff_gt_1mm_std,0.11167433977291222,0.16649678210950472,-0.2747539448275815,0.2747539448275815,0.03592645932414915
st_V1_high_takeoff_gt_1mm_std,0.11167433977291222,0.16649678210950472,-0.2747539448275815,0.2747539448275815,0.03592645932414915
morph_V1_t_mean_mean,0.02937640684376093,0.024098786151945557,0.27449187333906755,0.27449187333906755,0.013302679615979276
st_V3_st_slope_j0_j40_std,0.0004030616272067888,0.00029769926218050957,0.2736779041496511,0.2736779041496511,0.00019930069096559596
st_V1_st_slope_j0_j40_mean,-0.0014667561448994892,-0.0009612132741160193,-0.2735466582098781,0.2735466582098781,8.811789577484599e-08
sq_aVR_snr_proxy,2493.247792250219,1665.6524965623953,0.27327522434555196,0.27327522434555196,0.000845040636216478
morph_V3_t_peak_value_min,-0.05251351351351349,-0.0707787456445993,0.2679009450680266,0.2679009450680266,0.012642061286414671
morph_V2_t_polarity_std,0.3185533153490867,0.4299181290191144,-0.267155855253876,0.267155855253876,0.06162896315939279
st_V2_st_j80_mean,0.19377539504579944,0.15875796197707576,0.2644855760257259,0.2644855760257259,0.012844386280712343
st_V2_r_amplitude_max,-0.010364864864864876,-0.1993850174216028,0.26245259262868464,0.26245259262868464,0.006265518891565389
st_V1_j_point_confidence_min,0.972972972972973,0.9965156794425087,-0.25897574658799155,0.25897574658799155,0.047433694250278095
st_V1_st_area_above_baseline_std,0.22243026748424438,0.18166462798130353,0.25819779790888836,0.25819779790888836,0.3196890856972272
st_V1_st_monotonicity_std,0.08297697727072816,0.0929527574510026,-0.25677611115324617,0.25677611115324617,0.005054423247646924
morph_V1_t_inversion_indicator_median,0.013513513513513514,0.0,0.2567567518783785,0.2567567518783785,0.049704532143266755
morph_V1_t_inversion_indicator_min,0.013513513513513514,0.0,0.2567567518783785,0.2567567518783785,0.049704532143266755
st_V1_j_point_confidence_median,0.9864864864864865,1.0,-0.256756751878378,0.256756751878378,0.049704532143266755
st_V1_j_point_confidence_max,0.9864864864864865,1.0,-0.256756751878378,0.256756751878378,0.049704532143266755
sq_V1_max,0.33877027027027024,0.2839547038327526,0.2534754512544293,0.2534754512544293,0.3082765875399154
morph_V1_t_inversion_indicator_std,0.017052800693964705,0.005072120592731776,0.2529583743457382,0.2529583743457382,0.06942561187322914
st_V3_high_takeoff_gt_2mm_max,0.3108108108108108,0.20557491289198607,0.25081859657458405,0.25081859657458405,0.054486000780463006
morph_V3_high_takeoff_gt_2mm_max,0.3108108108108108,0.20557491289198607,0.25081859657458405,0.25081859657458405,0.054486000780463006
sq_V6_std,0.15875725992350276,0.17476766740708183,-0.2497047223267323,0.2497047223267323,0.09398596309873163
st_V1_st_j80_median,0.07843581081081079,0.06420034843205573,0.2491255098166443,0.2491255098166443,0.06418293731663631
sq_III_mean,0.012509966216216197,0.017818397212543528,-0.24821094835439148,0.24821094835439148,0.10236214258152117
sq_V6_rms,0.16409341661149604,0.18038665382183947,-0.24606199618131364,0.24606199618131364,0.09060267839477039
st_V3_st_j40_std,0.018275844148894774,0.021709883280363013,-0.24529894003478628,0.24529894003478628,0.16229826096349453
st_V3_s_amplitude_max,-0.9759459459459461,-0.859,-0.24405496821494527,0.24405496821494527,0.04342959532085918
st_V3_st_j80_max,0.2648108108108108,0.225787456445993,0.24392644172294423,0.24392644172294423,0.1245220857974557
st_V1_st_j80_mean,0.0778965400943342,0.06411113791584448,0.24079641432034898,0.24079641432034898,0.10622557360142712
sq_aVR_rms,0.1311139559301966,0.1404174569615649,-0.2389548755467687,0.2389548755467687,0.10105612712264761
st_V3_r_amplitude_std,0.16198764122748463,0.1895901241566771,-0.23867260626973463,0.23867260626973463,0.06258378715221463
st_V2_st_j40_j0_ratio_mean,0.7952991819614051,0.9792433072983514,-0.23684872805773569,0.23684872805773569,0.002753131116300628
morph_V1_t_polarity_max,0.918918918918919,0.9790940766550522,-0.23501862963158623,0.23501862963158623,0.07189152245348843
st_V2_s_amplitude_min,-0.9883108108108108,-1.1232229965156795,0.23125692361193945,0.23125692361193945,0.10528240223838599
st_V2_st_convexity_std,0.001811821706961185,0.0013200927615923729,0.23106631760523966,0.23106631760523966,7.455410488119779e-10
sq_II_rms,0.17450590187221995,0.18988636994868893,-0.2293508793242062,0.2293508793242062,0.1007965238795693
st_V3_st_convexity_min,-0.00073648648648648,0.0007742160278745397,-0.2288860672780495,0.2288860672780495,2.0803504553026113e-05
st_V2_st_j40_j0_ratio_median,0.794758554924746,0.9605789065391864,-0.2256743488228983,0.2256743488228983,0.0022533861437792307
sq_aVL_max,0.3369864864864865,0.28632404181184673,0.22257717181534956,0.22257717181534956,0.5710002431485279
morph_V2_t_mean_max,0.045777042370057044,0.030617544077441054,0.22160091023443299,0.22160091023443299,1.3835775978723762e-05
sq_aVR_std,0.12751027853190613,0.1357627377820454,-0.2200765080054695,0.2200765080054695,0.13593948432199499
morph_V3_t_amplitude_median,0.06460472972972969,0.05642334494773517,0.21862369792251796,0.21862369792251796,0.14193681974471256
sq_II_std,0.17017125604367728,0.1843048661937618,-0.2179000536305853,0.2179000536305853,0.11244860942263776
sq_V4_baseline_drift,5.473885991381788e-05,8.99281761850531e-05,-0.2172472219367732,0.2172472219367732,0.18561177958269315
st_V2_rs_ratio_min,-0.533364820024901,-1.0296557891822165,0.21723577705783356,0.21723577705783356,0.0003889161606281655
morph_V2_t_peak_value_std,0.03464650883056744,0.024780726704490236,0.21649655401540774,0.21649655401540774,0.6106787168198795
st_V1_r_amplitude_std,0.07412852855647051,0.08540734416952953,-0.21520760892397395,0.21520760892397395,0.02401260604717319
sq_V5_range,1.7681486486486488,1.932156794425087,-0.21368584787055653,0.21368584787055653,0.1511473893031283
morph_V2_t_peak_value_max,0.06353378378378377,0.042839721254355395,0.21200590568641517,0.21200590568641517,5.508933800347359e-05
st_V1_st_slope_j0_j40_max,0.0002979729729729878,-0.00017395470383274668,0.21177973922677729,0.21177973922677729,0.002820864605358612
