feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
st_V2_st_j40_j0_ratio_max,2.011502904632852,1.490661037849014,1.3410807835343506,1.8233328540443312,0.5208418667838379,0.28728934022820773,0.28728934022820773
sq_II_min,-0.32987500000000003,-0.4025740072202166,0.18729551349405035,0.25512747385656676,0.07269900722021655,0.286590569819864,0.286590569819864
st_V1_st_j40_j0_ratio_std,0.08839262802192935,0.29823352991181235,0.04398036500369116,0.746477351320083,-0.209840901889883,-0.28463812436739033,0.28463812436739033
sq_II_rms,0.16603854804195584,0.18415828966163,0.044657552804116395,0.06488005983958132,-0.018119741619674168,-0.28111613132722674,0.28111613132722674
st_V3_r_amplitude_mean,0.6084069940476191,0.3837168621941714,0.5415201155301831,0.814322891841165,0.22469013185344772,0.2778459935364241,0.2778459935364241
st_V1_st_j60_max,0.0960625,0.11571841155234655,0.053435380074909146,0.07130226339821115,-0.019655911552346556,-0.27717705036940843,0.27717705036940843
st_V3_r_amplitude_min,0.31118749999999995,0.0715,0.5892776795312631,0.8709726864704871,0.23968749999999994,0.27705949640937305,0.27705949640937305
st_V1_high_takeoff_gt_1mm_std,0.20228339679297141,0.14762304869042048,0.21087156127015444,0.19712457832112693,0.05466034810255094,0.27679467807472946,0.27679467807472946
morph_V1_high_takeoff_gt_1mm_std,0.20228339679297141,0.14762304869042048,0.21087156127015444,0.19712457832112693,0.05466034810255094,0.27679467807472946,0.27679467807472946
sq_aVF_max,0.682125,0.8156389891696751,0.31757181766491804,0.4858276049474156,-0.13351398916967516,-0.27678509461450185,0.27678509461450185
st_V2_st_j40_j0_ratio_mean,1.1609539913090052,0.9403522307848066,0.4919921308325355,0.8040666459782776,0.22060176052419866,0.2765052579546019,0.2765052579546019
sq_II_range,1.2617500000000001,1.4147870036101087,0.32127548537042167,0.5581113278473454,-0.15303700361010852,-0.27650115190858765,0.27650115190858765
st_V1_st_j80_max,0.08331249999999997,0.10372563176895305,0.03716427846400355,0.07464567682487841,-0.020413131768953083,-0.27604682932617136,0.27604682932617136
sq_V3_std,0.23245306760015905,0.25783170086445917,0.07941963464632495,0.09224772981626919,-0.02537863326430012,-0.27599866248684124,0.27599866248684124
median_rr_ms,925.625,882.7256317689531,128.36562770072058,156.1046250562457,42.89936823104688,0.27591885467920463,0.27591885467920463
morph_V2_covedness_score_max,0.14181249999999995,0.17703640192539105,0.11273375213984398,0.12876751145077217,-0.0352239019253911,-0.2743399887810754,0.2743399887810754
morph_V1_covedness_score_median,0.0115833333333333,0.020406137184115485,0.012921286136320445,0.03253231853616617,-0.008822803850782185,-0.27407107825698473,0.27407107825698473
sq_V2_rms,0.1940194392596597,0.22237642170886007,0.05924520375974645,0.10436797417054625,-0.028356982449200374,-0.2740084714288744,0.2740084714288744
st_V1_st_j80_j0_ratio_std,0.12242203506802676,0.3415669621809009,0.07527206345120396,0.8159149494328262,-0.21914492711287412,-0.2719432855670046,0.2719432855670046
sq_aVF_snr_proxy,615.8399355591855,1166.0930357592247,534.0861072551284,2066.1931921092046,-550.2531002000392,-0.26944031665359786,0.26944031665359786
st_V1_st_j20_max,0.14018749999999996,0.1680018050541516,0.09770681191068514,0.10475820102818852,-0.02781430505415164,-0.26593778458501255,0.26593778458501255
morph_V2_covedness_score_mean,0.0755595621392496,0.09569816937129311,0.04410339877785165,0.07673429120849834,-0.020138607232043512,-0.2646469447190647,0.2646469447190647
st_V1_st_monotonicity_mean,0.7842729240456513,0.7228431954194289,0.15726451301775868,0.23391231125131348,0.061429728626222424,0.2644167314818192,0.2644167314818192
sq_III_baseline_drift,6.995557166627871e-06,2.7573540488316556e-05,6.060329713567043e-06,7.919599417779009e-05,-2.0577983321688685e-05,-0.26309102017919295,0.26309102017919295
st_V1_st_curvature_sign_median,-0.375,-0.12274368231046931,0.8569568250501305,0.9628978427646834,-0.2522563176895307,-0.2626525368512672,0.2626525368512672
morph_V2_t_amplitude_mean,0.041576379870129826,0.050734212717619166,0.026004393012408544,0.035226344638246795,-0.00915783284748934,-0.2614466701695531,0.2614466701695531
st_V1_st_curvature_sign_mean,-0.2444264069264069,-0.07876179672068842,0.6490226060814639,0.6351688530595282,-0.1656646102057185,-0.26067766521083585,0.26067766521083585
st_V3_st_slope_j0_j40_std,0.00020855963156606613,0.0003086049698989589,0.00010911640105200637,0.0003888942828342541,-0.00010004533833289278,-0.26023807433299134,0.26023807433299134
st_V1_st_monotonicity_std,0.09991718697716112,0.08989576580992928,0.04544535143736735,0.03842639187740572,0.010021421167231842,0.25951879137878087,0.25951879137878087
hr_estimate_bpm,67.03916343604205,70.33140586200939,8.885740411354847,12.79082925463536,-3.292242425967345,-0.2590538497932061,0.2590538497932061
sq_V1_max,0.23662499999999997,0.29309747292418775,0.1283218000769939,0.22190821897136548,-0.05647247292418778,-0.2566068534845922,0.2566068534845922
st_V2_st_curvature_sign_std,0.23570226039551584,0.3361229295848075,0.40824829046386296,0.3909855787884398,-0.10042066918929166,-0.25655362280278693,0.25655362280278693
sq_V5_min,-0.357,-0.4731083032490974,0.15816447135814035,0.4587304752468771,0.11610830324909743,0.25591199465905984,0.25591199465905984
sq_V2_std,0.19309677968966885,0.21932008107437165,0.0588115278092126,0.10339295309443146,-0.026223301384702802,-0.25577639529621676,0.25577639529621676
morph_V2_covedness_score_min,0.023572916666666617,0.0374302045728038,0.028182670425749064,0.0554750623556177,-0.013857287906137182,-0.2521171353658116,0.2521171353658116
