feature,mean_FN,mean_TP,std_FN,std_TP,mean_difference,cohen_d,abs_cohen_d
morph_V3_t_amplitude_median,0.05674137931034483,0.061228723404255295,0.03983519295921011,0.034175502525030835,-0.004487344093910467,-0.12320899731672584,0.12320899731672584
st_V2_high_takeoff_gt_2mm_min,0.2413793103448276,0.19148936170212766,0.4279197808962364,0.3934732342320624,0.04988994864269994,0.12262486087772272,0.12262486087772272
morph_V2_high_takeoff_gt_2mm_min,0.2413793103448276,0.19148936170212766,0.4279197808962364,0.3934732342320624,0.04988994864269994,0.12262486087772272,0.12262486087772272
sq_II_min,-0.4269655172413792,-0.4625106382978725,0.20756776753938505,0.33082410781616045,0.03554512105649327,0.12239826083294825,0.12239826083294825
sq_V1_min,-0.8463448275862069,-0.7982978723404253,0.3976111664863368,0.39323496927321056,-0.04804695524578162,-0.12166973235016669,0.12166973235016669
cl_n_leads_t_inverted_v1v3,0.13793103448275862,0.19148936170212766,0.3448275862068966,0.4898240184349506,-0.05355832721936904,-0.12155542864199374,0.12155542864199374
st_V1_st_j20_median,0.11142241379310343,0.09985638297872339,0.10143014207699708,0.09150862859967772,0.01156603081438004,0.12125735422609496,0.12125735422609496
cl_max_covedness_v1v3,0.14816379310344827,0.16450265957446808,0.12481421918862454,0.1417487781968181,-0.016338866471019814,-0.12050193647480827,0.12050193647480827
st_V1_j_point_amplitude_min,0.07460344827586206,0.0612127659574468,0.0944172123508706,0.12093781348547421,0.01339068231841526,0.11993838980179082,0.11993838980179082
st_V3_st_j40_std,0.02428449825905293,0.02261442125777729,0.016281348989437713,0.012364729022834035,0.0016700770012756383,0.11949287969486552,0.11949287969486552
sq_III_snr_proxy,692.6591195605731,830.4511047568137,667.1716109670677,1370.2635675155805,-137.7919851962406,-0.11923034296354112,0.11923034296354112
morph_V3_t_mean_median,-0.015691185251530054,-0.011888197234207845,0.025742176241152,0.03538069587846757,-0.003802988017322208,-0.1185613132916837,0.1185613132916837
st_V2_j_point_amplitude_max,0.224,0.24438297872340428,0.1579127869295646,0.1801743308507352,-0.020382978723404277,-0.11844368067309538,0.11844368067309538
st_V2_st_monotonicity_min,0.2727272727272727,0.2437137330754352,0.26043346815753754,0.23505543568221757,0.029013539651837505,0.11843840751031329,0.11843840751031329
morph_V3_t_polarity_mean,-0.4379061776627699,-0.3481920934608505,0.7016651240923256,0.8038627234519482,-0.0897140842019194,-0.11699849710106273,0.11699849710106273
st_V3_st_j80_min,0.11837931034482757,0.1336914893617021,0.12850651769143676,0.1332695059050073,-0.015312179016874539,-0.11645341918803731,0.11645341918803731
morph_V3_t_amplitude_mean,0.05909769731620641,0.06335694507298316,0.041336384827282295,0.0334571109462714,-0.004259247756776746,-0.11625129923003993,0.11625129923003993
morph_V2_high_takeoff_gt_1mm_min,0.4827586206896552,0.425531914893617,0.4997026464203254,0.4944234058988191,0.05722670579603817,0.11527705254688762,0.11527705254688762
st_V2_high_takeoff_gt_1mm_min,0.4827586206896552,0.425531914893617,0.4997026464203254,0.4944234058988191,0.05722670579603817,0.11527705254688762,0.11527705254688762
st_V2_st_curvature_sign_min,0.06896551724137931,-0.0425531914893617,0.9801841657621996,0.9883889063265476,0.11151870873074102,0.11318335921718127,0.11318335921718127
morph_V3_t_polarity_median,-0.4827586206896552,-0.3829787234042553,0.8558395617924729,0.9121681323500429,-0.09977989728539988,-0.11195206655091884,0.11195206655091884
st_V2_st_j60_max,0.1857758620689655,0.20148936170212767,0.1522842502218668,0.13602931041169744,-0.015713499633162153,-0.11034899483604774,0.11034899483604774
morph_V3_t_inversion_indicator_mean,0.1266538059641508,0.15559794815113964,0.24116723721628405,0.27650146147554555,-0.028944142186988847,-0.10976613837728748,0.10976613837728748
st_V3_st_j60_median,0.12612068965517242,0.13876063829787233,0.11509360172548716,0.11643555835108424,-0.012639948642699905,-0.10903122840264669,0.10903122840264669
st_V1_st_j40_mean,0.0783307818561875,0.0849481521400746,0.06557690136766181,0.058355667428985514,-0.006617370283887106,-0.1081475813819899,0.1081475813819899
st_V3_st_j20_min,0.03818965517241377,0.0494468085106383,0.10896206345464868,0.1013934423391812,-0.01125715333822453,-0.10790792306826391,0.10790792306826391
sq_aVL_range,0.6642413793103449,0.7120212765957447,0.5752886325154928,0.34769174959839905,-0.047779897285399775,-0.10673920063007517,0.10673920063007517
sq_II_range,1.6658275862068967,1.592127659574468,0.7273203093152627,0.6706472141377258,0.07369992663242875,0.10640489054373953,0.10640489054373953
sq_V6_baseline_drift,3.1207254066817567e-05,4.051843295748236e-05,3.238771229798674e-05,0.00011003120287701455,-9.311178890664793e-06,-0.10460813745873952,0.10460813745873952
morph_V1_t_peak_value_min,-0.0012758620689655167,0.0027021276595744605,0.03427565392290922,0.040497000095681884,-0.003977989728539977,-0.10396676511966531,0.10396676511966531
st_V3_st_j60_mean,0.12704207985501084,0.13909514187469935,0.11745699994261313,0.1151453594596158,-0.012053062019688504,-0.10388291484030261,0.10388291484030261
sq_V2_mean,0.027403793103448246,0.024499627659574433,0.02932839827346005,0.027224717010584282,0.002904165443873813,0.10357492219852403,0.10357492219852403
sq_aVF_rms,0.15773334767110986,0.16602342199862943,0.06246894031219936,0.08925426523169301,-0.008290074327519575,-0.10339507439720065,0.10339507439720065
morph_V2_t_amplitude_std,0.015540374762439153,0.01717047420688791,0.01449653588898692,0.016605102126839386,-0.0016300994444487585,-0.10290830586796605,0.10290830586796605
