feature,mean_abs_shap,mean_shap,std_shap,shap_rank
morph_V3_second_hump_amplitude_n_valid,0.010665457885527646,-0.0021870787334487257,0.025286353607046466,206
st_V1_st_j60_median,0.010548996595055173,-0.0012395899348248258,0.022886320235105007,207
sq_aVF_min,0.010524178440310554,2.347817310940876e-06,0.018521653069845143,208
morph_V3_t_polarity_std,0.010516059321374416,-0.0014846119752600223,0.02252255334799932,209
morph_V1_t_mean_median,0.010495760515947961,0.0005260880229886847,0.03031653549320618,210
morph_V2_t_amplitude_min,0.010450142215085579,-0.000780203961882717,0.03075470530025933,211
st_V2_j_point_amplitude_n_valid,0.010117367695165224,-0.00012231889003810317,0.02197982629257717,212
morph_V1_high_takeoff_gt_1mm_max,0.009888524478173094,0.00013410843780506227,0.018325454024639313,213
sq_III_baseline_drift,0.009815666882357136,0.0010119108639185326,0.025058706302998664,214
st_V3_st_j20_mean,0.009812751639244372,0.0017505703578618444,0.017842956334621282,215
st_V1_st_area_above_baseline_std,0.00975235669573473,0.001117773464375452,0.01670271964661224,216
sq_V3_snr_proxy,0.009660059177411633,-0.0002645098800788777,0.022103815507705436,217
morph_V2_t_amplitude_n_valid,0.00940361684570843,0.0020033376109010177,0.019974643482175352,218
morph_V3_trough_depth_between_humps_median,0.009335203774546148,-0.0013788819504196566,0.021117647939205966,219
st_V1_st_j20_std,0.009238975887897493,0.0011170213751125445,0.024480258298138848,220
st_V1_j_point_confidence_max,0.009227893245573198,0.0010277611240949857,0.024435339542927974,221
st_V1_st_j20_min,0.00918568911728735,-0.0011357502177480648,0.018941726041866693,222
morph_V2_t_peak_value_min,0.009123025991628064,-0.00021314522867237846,0.016049638733137774,223
st_V1_st_j80_j0_ratio_min,0.008978004563066154,0.003360049542162798,0.027435387105775796,224
st_V2_j_point_confidence_min,0.008969997679006502,0.0007583374979446565,0.025268335498561587,225
st_V3_st_j60_std,0.0089148502398703,-0.00018248929978237572,0.027537256833391442,226
st_V2_r_amplitude_max,0.008880899687433589,-0.0001244480358359577,0.015986990294490747,227
st_V2_st_j60_min,0.00879711285484928,-0.0005588903188315401,0.020784914793227957,228
sq_I_rms,0.00873307249980873,-0.0031393073292669766,0.028450236928157607,229
st_V3_st_curvature_sign_min,0.008723286354565365,0.001537138781594955,0.018141761503932145,230
sq_aVR_std,0.008699889158975604,0.000715667094093111,0.020354673661195415,231
st_V3_st_area_above_baseline_min,0.008647727817938355,-0.0005153306158254331,0.018118093632542378,232
morph_V3_covedness_score_max,0.00863157105195968,0.0022929961565553523,0.024396588638591076,233
sq_aVR_range,0.008584088488499885,0.0002585189679211637,0.017110548144009932,234
st_V1_r_amplitude_mean,0.008365663330150189,-0.00039628867142047094,0.019320164391415443,235
morph_V3_covedness_score_std,0.008330028604090028,0.0012794379961802553,0.016979466427979237,236
sq_V5_min,0.008327574798319031,-0.0009144191300758183,0.023983973019073224,237
