feature,native_importance_mean,native_importance_std
st_V2_st_j80_j0_ratio_max,0.06712042568071125,0.15008583450079294
st_V2_st_j20_n_valid,0.0644752781845551,0.14417110488887444
st_V1_st_slope_j0_j40_median,0.06447192870028925,0.14416361521436644
morph_V2_t_mean_mean,0.06420570150940294,0.14356831311808582
st_V1_r_amplitude_mean,0.06384658787613534,0.09703690181161967
morph_V3_covedness_score_std,0.06226181721408027,0.08952912378505948
st_V2_st_j80_max,0.06224258011973875,0.13917864024271287
morph_V1_t_polarity_median,0.06220743168131097,0.13218782941778423
sq_V5_mean,0.06058925177304876,0.11866008870505146
morph_V2_t_peak_value_min,0.06039122687424855,0.08285947857859963
morph_V1_high_takeoff_gt_2mm_mean,0.059745694189794515,0.13359543357129477
morph_V1_t_peak_value_n_valid,0.0593323546395193,0.09041763386852496
sq_V6_snr_proxy,0.05885221737902917,0.13159755868610373
morph_V3_covedness_score_mean,0.05874674161806916,0.09444507223721323
morph_V2_t_amplitude_mean,0.05834935081195516,0.08000849009504489
st_V2_high_takeoff_gt_1mm_std,0.05750462866853993,0.1285842587237385
st_V3_st_curvature_sign_std,0.05726838891053283,0.12805601056584653
morph_V1_covedness_score_median,0.05722495533986858,0.10655603256559847
morph_V1_t_amplitude_min,0.05717370872540145,0.09906899186945094
morph_V2_high_takeoff_gt_1mm_std,0.05655050779127717,0.09707587141252993
sq_V5_std,0.05599253541834333,0.1252031154279803
sq_I_min,0.05526969143469003,0.12358678714340478
morph_V2_trough_depth_between_humps_max,0.05497147531875137,0.09892699651944184
st_V2_st_area_above_baseline_n_valid,0.05434701945230298,0.07520319135664183
morph_V3_t_inversion_indicator_n_valid,0.05431913648617458,0.12146128166217543
morph_V2_t_mean_max,0.053624240461997374,0.11990744691482086
st_V3_st_curvature_sign_median,0.05350818999512495,0.11964795018207354
st_V1_st_area_above_baseline_max,0.052717937221823566,0.08206260461859065
morph_V3_high_takeoff_gt_1mm_std,0.05075041456615716,0.10614377875652228
st_V3_j_point_amplitude_median,0.050113318149751465,0.11205678596091825
morph_V2_covedness_score_median,0.049935511529547574,0.11165919827129286
morph_V1_t_peak_value_std,0.0498629634908625,0.07269313979144126
st_V3_j_point_amplitude_std,0.049494360375872584,0.0705264753861801
morph_V1_high_takeoff_gt_1mm_std,0.04940841135584253,0.09600667662973922
st_V3_st_slope_j20_j80_n_valid,0.04909014962413468,0.07410964464027357
morph_V1_saddleback_score_min,0.049008933322850556,0.10958730641464849
st_V3_j_point_amplitude_min,0.04875379827380241,0.10901680710153411
sq_aVL_baseline_drift,0.04839582913037218,0.10821636376297672
sq_V2_snr_proxy,0.0471655513464952,0.10546537900702
st_V2_rs_ratio_n_valid,0.046651638636696975,0.10431623525341005
st_V2_st_j60_max,0.04660541402569053,0.10421287388096616
sq_aVL_rms,0.04610982388451855,0.07386366776126033
morph_V1_t_polarity_max,0.04576771971253691,0.10233973245238967
morph_V1_t_peak_value_min,0.04560634800778671,0.06665490852862681
st_V1_high_takeoff_gt_1mm_std,0.044809299248422155,0.08099786284051079
sq_aVR_min,0.04442709146468233,0.09934199655763039
st_V2_st_j60_std,0.04402202017044835,0.0984362296079894
st_V1_j_point_confidence_mean,0.04358925611726759,0.09411431734823172
sq_V5_baseline_drift,0.04340177516269388,0.09704931960794552
sq_V1_rms,0.04303151129801402,0.09622138443690956
morph_V3_t_amplitude_median,0.042746682100189407,0.09558448698859699
sq_V6_range,0.04232717497687782,0.09464644054382688
morph_V1_t_inversion_indicator_max,0.04075345517511328,0.09112749608954389
morph_V3_t_inversion_indicator_min,0.04049429168148312,0.06233959194644308
st_V1_high_takeoff_gt_2mm_std,0.04043990213305953,0.09042637017295985
morph_V3_t_inversion_indicator_std,0.03993052365148162,0.08928736526187601
sq_III_mean,0.0398103882936699,0.08901873443530775
morph_V2_t_mean_median,0.03902183940067229,0.0872554855069829
morph_V2_covedness_score_std,0.038265051872221574,0.08556325714884302
st_V2_j_point_confidence_mean,0.03813120719054605,0.0697522342461477
st_V3_s_amplitude_min,0.037806129046081854,0.0845370745131683
sq_V2_range,0.03774771950480591,0.08440646680834071
st_V1_st_j40_min,0.03768978079845987,0.08427691192242255
st_V1_s_amplitude_min,0.03597894823658032,0.08045137401593978
morph_V2_high_takeoff_gt_2mm_mean,0.0354981949871233,0.07937637706974995
morph_V3_second_hump_amplitude_std,0.03548450550816787,0.05140758671659859
st_V2_high_takeoff_gt_1mm_n_valid,0.03525292149681568,0.0788279288723435
sq_II_baseline_drift,0.03496976597037972,0.04888256180267778
morph_V2_covedness_score_min,0.034691069499443936,0.07757158961292625
st_V3_r_amplitude_max,0.0345913176613301,0.07734853772202313
st_V2_s_amplitude_std,0.03424992643431588,0.07658516373149729
st_V3_rs_ratio_median,0.0341077616025436,0.06550254288378192
morph_V3_covedness_score_median,0.0337713121411201,0.07551494963690851
st_V1_st_slope_j20_j80_max,0.033485132963631564,0.07487503354229917
morph_V2_saddleback_score_median,0.032620816684713685,0.05939571248281724
sq_V4_range,0.03257150393986309,0.0728320969389361
morph_V3_t_polarity_min,0.032567074118533525,0.044602701838573774
sq_III_std,0.03202983631280885,0.07162089130363179
sq_V3_max,0.031771809291989486,0.07104392534504796
st_V2_r_amplitude_mean,0.0316994206556928,0.04378517831008583
morph_V2_covedness_score_mean,0.03093146779616323,0.0691648646360666
