feature_type,shap_V1,shap_V2,shap_V3,dominant_lead,v1v2v3_variance
morph_LEAD_high_takeoff_gt_2mm_min,0.014428654712401637,0.01714834264164005,0.043741318586977725,V3,0.00017486837060951463
sq_LEAD_min,0.0284861471612499,0.016607929424616218,0.0,V1,0.00013648621738492197
st_LEAD_j_point_amplitude_min,0.0,0.015679617206830296,0.002613865873537773,V2,4.704406094011216e-05
morph_LEAD_t_inversion_indicator_max,0.00238628364955755,0.015305796795224475,0.0,V2,4.5208398345989994e-05
morph_LEAD_t_mean_n_valid,0.0,0.014917002517355416,0.006851490261264083,V2,3.716804120623821e-05
st_LEAD_st_slope_j0_j40_mean,0.02699900410956506,0.01480169406920138,0.0,V1,0.0001218678602719221
st_LEAD_j_point_confidence_max,0.009227893245573215,0.014731449032017637,0.0,V2,3.6939858958792785e-05
st_LEAD_st_curvature_sign_std,0.03728299617161846,0.014308312297521284,0.007539629586164123,V1,0.00016203544673316087
st_LEAD_st_j80_j0_ratio_std,0.032789968565598994,0.013241045184115322,0.0,V1,0.00018140752460843026
st_LEAD_st_j20_min,0.009185689117287392,0.012340439498147445,0.040562281217631314,V3,0.00019899059242627797
st_LEAD_s_amplitude_min,0.005502543040646173,0.011810815543213412,0.002138467317817639,V2,1.607395862543189e-05
morph_LEAD_high_takeoff_gt_1mm_median,0.0020559814776558195,0.011529852271326316,0.0136566123530556,V3,2.5427996996408743e-05
sq_LEAD_std,0.01336184855822484,0.010843849069998182,0.0,V1,3.3607597885393936e-05
st_LEAD_st_slope_j0_j40_min,0.06218403780848921,0.010712225783216067,0.0,V1,0.0007367726413959186
morph_LEAD_t_amplitude_min,0.005467858348893561,0.010450142215085587,0.09884336120118682,V3,0.0018396854275740879
st_LEAD_j_point_amplitude_n_valid,0.0,0.01011736769516524,0.0,V2,2.2746917573149598e-05
morph_LEAD_t_amplitude_n_valid,0.09491579231094138,0.009403616845708458,0.07984239066007788,V1,0.0013890178273996592
morph_LEAD_t_peak_value_min,0.005440371589370831,0.009123025991628076,0.002204699012150696,V2,7.98830762982263e-06
st_LEAD_j_point_confidence_min,0.0,0.008969997679006523,0.0,V2,1.7880190746973868e-05
st_LEAD_r_amplitude_max,0.0,0.008880899687433622,0.006510531443938325,V2,1.4097338283393247e-05
st_LEAD_st_j60_min,0.0025527941867113935,0.008797112854849291,0.0,V2,1.3655274263324178e-05
morph_LEAD_trough_depth_between_humps_std,0.014262480632230104,0.008152946397949513,0.017728837466293293,V3,1.567108089040992e-05
morph_LEAD_trough_depth_between_humps_max,0.008294584253371871,0.008011103658077431,0.03271969499210147,V3,0.00013413120906210227
morph_LEAD_t_amplitude_max,0.04820005320310182,0.00789258670410752,0.006131871509803178,V1,0.0003775026538381544
st_LEAD_st_j80_j0_ratio_max,0.05329930946497713,0.007800361517580745,0.0,V1,0.0005524240326186934
st_LEAD_high_takeoff_gt_1mm_min,0.0,0.007793021574205931,0.0,V2,1.3495818945786467e-05
morph_LEAD_high_takeoff_gt_2mm_std,0.035072111404583,0.007637013588100672,0.055861190391971266,V3,0.0003900490695283103
st_LEAD_st_j80_j0_ratio_median,0.0,0.007176382864617612,0.0,V2,1.1444549115461618e-05
morph_LEAD_t_amplitude_mean,0.0,0.006996297538511394,0.05618657874890164,V3,0.0006250626195901308
st_LEAD_rs_ratio_n_valid,0.0,0.006968246558116693,0.04051696186205988,V3,0.0003128552174634835
morph_LEAD_t_mean_mean,0.0,0.006833089149092675,0.020235011172173006,V3,7.063981093001556e-05
morph_LEAD_t_mean_std,0.0,0.006814187479233653,0.022616589600194668,V3,8.973990988203682e-05
morph_LEAD_t_mean_median,0.010495760515947973,0.006619186449575318,0.0014975497463446104,V1,1.3580754007350989e-05
st_LEAD_s_amplitude_n_valid,0.0,0.006481297980485992,0.0,V2,9.334938558189288e-06
st_LEAD_high_takeoff_gt_2mm_min,0.0,0.006422043810739663,0.0,V2,9.165032601568803e-06
morph_LEAD_second_hump_amplitude_min,0.0,0.00626256522786683,0.0028296562599290174,V2,6.55683797386556e-06
st_LEAD_st_j60_max,0.0018262669322216885,0.006244945853086542,0.0,V2,6.873258113489401e-06
sq_LEAD_baseline_drift,0.0017552347398381014,0.005989954562565265,0.0,V2,6.321472958947704e-06
morph_LEAD_high_takeoff_gt_1mm_std,0.004522052800806225,0.005774825324006788,0.00559072219707667,V2,3.050430260840881e-07
morph_LEAD_covedness_score_min,0.037701885303092444,0.005654309594557304,0.0,V1,0.00027560560902143696
st_LEAD_st_j80_max,0.0,0.005550677428848159,0.0010033080627828755,V2,5.832801682155391e-06
st_LEAD_st_area_above_baseline_min,0.0,0.00537993430290833,0.008647727817938388,V3,1.2711707108180854e-05
morph_LEAD_t_inversion_indicator_min,0.0,0.005171328202279967,0.004925562059788992,V2,5.673799775258204e-06
morph_LEAD_saddleback_score_median,0.011025766050539263,0.004884141395253337,0.0004171080159192735,V1,1.8913062879334213e-05
st_LEAD_r_amplitude_mean,0.00836566333015021,0.004810063775382505,0.0028411109030205685,V1,5.226638125283403e-06
morph_LEAD_high_takeoff_gt_2mm_mean,0.007364695245148641,0.004786136936776073,0.002572659284502432,V1,3.834672768324274e-06
st_LEAD_st_j20_n_valid,0.0,0.004632723654374049,0.03433499313075065,V3,0.00023139763264375376
sq_LEAD_snr_proxy,0.007628993351094569,0.00434997270412271,0.009660059177411653,V3,4.786024794211894e-06
st_LEAD_st_j60_std,0.010839757233262883,0.004275267340714938,0.008914850239870306,V1,7.59150266230119e-06
st_LEAD_high_takeoff_gt_1mm_max,0.024365203720684223,0.00412850784151956,0.0,V1,0.00011335906549485921
st_LEAD_st_slope_j0_j40_std,0.0568149023306538,0.0038948395849300486,0.0,V1,0.0006715151048050453
st_LEAD_r_amplitude_n_valid,0.016284953410244617,0.0037774511546758574,0.018923337063277472,V3,4.364406010333617e-05
sq_LEAD_range,0.011244433773040114,0.0037529243273691326,0.011769140624895322,V3,1.3406417198187315e-05
st_LEAD_st_monotonicity_std,0.0,0.0035910386817924905,0.0038763686392671803,V3,3.111467314028505e-06
st_LEAD_j_point_confidence_mean,0.00419493564489213,0.0035728266784156733,0.0,V1,3.416621678328414e-06
st_LEAD_st_area_above_baseline_n_valid,0.04478066271736695,0.003567061954108644,0.0903295935742806,V3,0.0012556669870247205
st_LEAD_st_j40_max,0.029309794015197222,0.003325244336505741,0.01536817207796494,V1,0.00011273308364790106
morph_LEAD_covedness_score_std,0.007168217558957656,0.0032137373639860756,0.00833002860409005,V3,4.796017174508752e-06
morph_LEAD_covedness_score_median,0.010901005159570905,0.0027331964299082754,0.0015714864119163844,V1,1.7233621074788108e-05
st_LEAD_s_amplitude_std,0.02500437555347182,0.002467958514960919,0.0,V1,0.0001265777454427013
st_LEAD_st_j40_j0_ratio_mean,0.006683381844039996,0.002452108929287796,0.06865799228046295,V3,0.0009157749999483233
morph_LEAD_covedness_score_mean,0.0015961308979247145,0.002353559352211223,0.006439638635305273,V3,4.5254787747953965e-06
st_LEAD_st_curvature_sign_median,0.0,0.00202620664555015,0.0036472691088586476,V3,2.226214314761551e-06
st_LEAD_high_takeoff_gt_1mm_n_valid,0.0,0.002008146946639151,0.0,V2,8.961453687324765e-07
st_LEAD_st_monotonicity_median,0.0015132164001239068,0.0018437115992765778,0.0,V2,6.442581568415461e-07
st_LEAD_s_amplitude_max,0.0,0.001815399055846405,0.0,V2,7.323719404373377e-07
st_LEAD_high_takeoff_gt_1mm_std,0.0028655424064728268,0.0015703313776674185,0.0,V1,1.372760614235566e-06
morph_LEAD_t_mean_max,0.0,0.0015332610383321922,0.0447893431670348,V3,0.00043105831020790445
morph_LEAD_second_hump_amplitude_median,0.0,0.0010606252073795217,0.0,V2,2.499835178953007e-07
morph_LEAD_high_takeoff_gt_2mm_median,0.034908875545625356,0.0010291882070517758,0.0,V1,0.0002630580038205553
st_LEAD_st_j40_std,0.0,0.0008798454945891604,0.032660912711060405,V3,0.00023083839784796882
st_LEAD_st_j20_mean,0.04624935538179597,0.0004979431699350805,0.009812751639244395,V1,0.00038973149649902824
st_LEAD_st_j40_median,0.07707391583586506,0.0002595915039872992,0.0,V1,0.0013156551458428738
morph_LEAD_second_hump_amplitude_n_valid,0.0,0.00014936103332869853,0.010665457885527661,V3,2.4929177070118904e-05
st_LEAD_st_area_above_baseline_median,0.0025921155799683137,7.271390231249254e-05,0.0074486282249250696,V3,9.3708013309468e-06
st_LEAD_st_slope_j20_j80_min,0.1422819929595616,3.022845085330574e-05,0.0803077042616324,V1,0.0033912055653339437
