feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
st_V1_st_j80_j0_ratio_max,0.07631007821544218,0.04720586547530694,0.056866427331574654,-0.01030997225605859,0.029104212740135242
st_V3_st_slope_j20_j80_min,0.07231825943080405,0.08242337606352426,0.02977011506310904,-0.010380239693094252,-0.010105116632720207
st_V1_s_amplitude_mean,0.07049121950667252,0.06807148044558972,0.05202394357036896,-0.009854231987680713,0.0024197390610827957
st_V3_st_j40_j0_ratio_mean,0.06806229870411029,0.06881573692089077,0.010435780746935793,-0.006047570543405902,-0.0007534382167804776
st_V2_st_convexity_mean,0.06771965799859335,0.056842237037942375,0.0410431702565524,-0.008745323346614623,0.010877420960650974
sq_V5_snr_proxy,0.06740530727523074,0.07054475254818919,0.03347070490665685,-0.0042703811766722395,-0.003139445272958452
morph_V3_high_takeoff_gt_2mm_std,0.06550914313215271,0.05330633182662698,0.037493849470353564,-0.015576826652855934,0.01220281130552573
st_V3_st_area_above_baseline_max,0.06519725419237817,0.062283067386857044,0.048157086984597516,-0.00808321463437393,0.002914186805521121
morph_V3_second_hump_present_min,0.06421069785166765,0.07007778005816055,0.022593966127468244,-0.00372780484129928,-0.005867082206492902
st_V2_high_takeoff_gt_1mm_mean,0.06250524773188916,0.04479716088577368,0.04557866521204182,-0.017490424886540522,0.01770808684611548
sq_V4_noise_energy,0.06141230325043005,0.07048368429502257,0.02225843703741893,-0.003779952439807274,-0.009071381044592514
st_V1_st_slope_j0_j40_min,0.06005676661958106,0.06274735700833925,0.04282173192058075,-0.0036176316825290164,-0.002690590388758192
morph_V1_trough_depth_between_humps_n_valid,0.05995178814340181,0.0689564327562458,0.031991271864573796,-0.008920579429039299,-0.00900464461284399
morph_V1_second_hump_present_n_valid,0.058824829107424634,0.04905830095838708,0.01020410486405845,-0.001127430208813047,0.009766528149037557
morph_V2_trough_depth_between_humps_n_valid,0.05850146197281949,0.06026906433903846,0.010721121372771446,-0.0056221444480922525,-0.0017676023662189719
st_V1_st_j20_median,0.05836676651452618,0.05613165556339591,0.03295935396730017,-0.004632041818601847,0.0022351109511302703
