feature,perm_importance_mean,perm_importance_std_within,perm_importance_fold_std,perm_importance_min,perm_importance_max,perm_stable
st_V3_st_j80_max,0.0002681992337164944,0.00017889069011386044,0.0005997117181034309,0.0,0.0013409961685824645,False
st_V1_s_amplitude_min,0.00026819923371647884,0.0002063281535300591,0.0005997117181034003,0.0,0.0013409961685823943,False
morph_V2_second_hump_amplitude_mean,0.00026814882032670425,0.0009509710027465604,0.0007579453310341765,-0.0006213450292397837,0.0013793103448276444,False
st_V1_st_j40_min,0.0002681488203266894,0.0016089592099727528,0.0014258969849972527,-0.0014942528735631734,0.0018773946360154058,False
morph_V3_t_mean_n_valid,0.0002676950998185427,0.0009434301893738095,0.0015419768258538812,-0.0018274853801169963,0.0021072796934866484,False
morph_V1_saddleback_score_median,0.0002660482624185027,0.0008373343174723901,0.0011821016187014886,-0.0007017543859649588,0.0023001949317738653,False
st_V1_high_takeoff_gt_2mm_mean,0.0002652080392552299,0.0006643588718539528,0.00047235831362152744,-0.0002192982456140524,0.0008045977011494898,False
rr_mean_ms,0.00026147744841031585,0.000486424716431999,0.00044798971942009976,0.0,0.0010344827586207508,False
sq_I_rms,0.0002610741412919533,0.0004549176003696374,0.00038141899910349597,0.0,0.0009195402298851333,False
morph_V3_t_polarity_mean,0.0002563352826510664,0.0006323586640117944,0.0005332595519682305,-1.850371707708594e-17,0.0012085769980506736,False
morph_V3_t_amplitude_std,0.0002537641997714491,0.0013189914704398792,0.0009046249496562878,-0.0012061403508772384,0.0010136452241714963,False
st_V1_st_curvature_sign_mean,0.0002532432614102283,0.0011055868226427675,0.0007469957806714275,-0.000574712643678114,0.0014559386973180487,False
sq_aVR_baseline_drift,0.0002528735632184046,0.0002283392799892953,0.0005442771143932809,0.0,0.0012260536398468135,False
morph_V2_high_takeoff_gt_2mm_max,0.00025097465886937177,0.00045385605172984934,0.000446943797004034,-0.00010964912280702066,0.0009746588693955912,False
sq_aVR_mean,0.00024756335282651644,0.0002852837725664265,0.00034813199441251664,0.0,0.0007309941520468044,False
st_V1_st_area_above_baseline_min,0.0002419842710224085,0.0006057692931222537,0.00045045315900496985,-0.000292397660818744,0.0008812260536399053,False
sq_V6_rms,0.000241580963904023,0.00016206043292690776,0.0005190383989488552,0.0,0.0011695906432749017,False
sq_V1_min,0.0002393627747529766,0.0010511608807322213,0.001810504705487137,-0.002192982456140413,0.002796934865900469,False
st_V1_j_point_confidence_min,0.00023924514351012432,0.0005680571205579678,0.0006633887993929092,-0.0006213450292397837,0.0009746588693957133,False
st_V2_st_area_above_baseline_min,0.0002385897694427911,0.0004238749094900556,0.0007224768241224003,-0.0008040935672514848,0.0011494252873563982,False
morph_V2_covedness_score_std,0.00023847213819990407,0.00041612736788934683,0.0003201068992494835,0.0,0.0007797270955165396,False
sq_aVL_max,0.00023754789272032004,0.00028144624784992366,0.0005311732360344589,0.0,0.0011877394636015928,False
morph_V3_second_hump_present_max,0.0002375478927203149,0.00022589123330244413,0.0005311732360344413,0.0,0.001187739463601556,False
morph_V3_t_amplitude_max,0.0002375478927203149,0.00043333487106586013,0.0004147852445279718,-1.850371707708594e-17,0.0009578544061303133,False
st_V3_r_amplitude_median,0.00023391812865497592,0.0002588932197508403,0.0006376384886470417,-0.00019493177387915525,0.0013645224171540348,False
st_V3_high_takeoff_gt_1mm_max,0.00023391812865497372,0.00015979650317286568,0.0005230568368420358,0.0,0.0011695906432748204,False
morph_V2_t_mean_median,0.00023158230826108902,0.0005577796784927751,0.0005508393620693279,-0.00030651340996165437,0.001111111111111144,False
st_V3_st_monotonicity_max,0.00023099415204680325,0.000947348384575493,0.0007186862822568354,-0.0003654970760234022,0.0014814814814815133,False
st_V3_st_j20_max,0.00023069167170801955,0.0005794770805866073,0.0010576211095712118,-0.0008771929824561653,0.001992337164751005,False
sq_aVL_mean,0.00023028836458963473,0.0006618320781355521,0.0005843473400768426,-0.0004678362573099652,0.0010344827586207471,False
st_V1_st_slope_j0_j40_median,0.00022854070041003152,0.0011532731811450783,0.0018228519433970262,-0.0011877394636014634,0.0032358674463937513,False
sq_V2_noise_energy,0.0002224910936344885,0.00021926897316203788,0.000455171090795834,0.0,0.0010344827586207508,False
st_V1_st_j80_j0_ratio_std,0.00021966794380587386,0.0010574642784657753,0.001008752253042239,-0.0014619883040935977,0.0012085769980506107,False
sq_V6_min,0.00021813873764872172,0.0006763063427450859,0.0016681040589612611,-0.001790935672514667,0.002846003898635489,False
morph_V1_t_amplitude_median,0.00021230758889559265,0.0024039311412514144,0.0027667068158296025,-0.0027046783625731654,0.00323586744639374,False
